what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.team.svn.ui,0.7.9.I20110419-1700,"org.eclipse.team.svn.ui",1611511524674
stopped,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1611511524687
stopped,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1611511524688
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.plan",1611511524688
stopped,bundle,org.eclipse.datatools.sqltools.result.ui,1.1.3.v201302061703,"org.eclipse.datatools.sqltools.result.ui",1611511524688
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.1.v201212120623,"org.eclipse.datatools.sqltools.common.ui",1611511524688
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1611511524688
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1611511524688
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.200.v20090113,"org.eclipse.wst.server.http.ui",1611511524688
stopped,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1611511524688
stopped,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1611511524688
stopped,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.ui",1611511524688
stopped,bundle,org.eclipse.mylyn.commons.repositories.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.repositories.ui",1611511524688
stopped,bundle,org.eclipse.mylyn.context.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.ui",1611511524688
stopped,bundle,org.eclipse.mylyn.commons.workbench,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.workbench",1611511524688
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1611511524688
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.102.R32x_v201102011435,"org.eclipse.rse.subsystems.files.dstore",1611511524688
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.dstore",1611511524688
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.201.v201008191400,"org.eclipse.rse.subsystems.shells.dstore",1611511524688
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.1.100.v201005281600,"org.eclipse.rse.connectorservice.dstore",1611511524688
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1611511524688
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.local",1611511524688
stopped,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1611511524688
stopped,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1611511524690
stopped,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.100.v200905272300,"org.eclipse.rse.subsystems.files.ssh",1611511524690
stopped,bundle,org.eclipse.rse.subsystems.shells.ssh,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.ssh",1611511524690
stopped,bundle,org.eclipse.rse.subsystems.terminals.ssh,1.0.1.v200908051630,"org.eclipse.rse.subsystems.terminals.ssh",1611511524690
stopped,bundle,org.eclipse.rse.connectorservice.ssh,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.ssh",1611511524690
stopped,bundle,org.eclipse.rse.connectorservice.telnet,1.2.1.v200908051630,"org.eclipse.rse.connectorservice.telnet",1611511524703
stopped,bundle,org.eclipse.rse.dstore.security,3.0.200.v201003010830,"org.eclipse.rse.dstore.security",1611511524703
stopped,bundle,org.eclipse.rse.efs,2.1.200.v201005262000,"org.eclipse.rse.efs",1611511524703
stopped,bundle,org.eclipse.rse.subsystems.files.ftp,2.1.100.v200905272300,"org.eclipse.rse.subsystems.files.ftp",1611511524703
stopped,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1611511524703
stopped,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1611511524703
stopped,bundle,org.eclipse.rse.subsystems.processes.shell.linux,1.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.shell.linux",1611511524703
stopped,bundle,org.eclipse.rse.subsystems.processes.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.processes.core",1611511524708
stopped,bundle,org.eclipse.rse.terminals.ui,1.0.100.v201006041352,"org.eclipse.rse.terminals.ui",1611511524708
stopped,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1611511524708
stopped,bundle,org.hibernate.eclipse,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse",1611511524708
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1611511524708
stopped,bundle,it.eng.spagobi.meta.querybuilder,5.1.0,"it.eng.spagobi.meta.querybuilder",1611511524708
stopped,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1611511524710
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1611511524710
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1611511524710
stopped,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1611511524710
stopped,bundle,org.eclipse.emf.databinding.edit,1.2.1.v20130125-0826,"org.eclipse.emf.databinding.edit",1611511524712
stopped,bundle,org.eclipse.emf.databinding,1.2.0.v20130125-0826,"org.eclipse.emf.databinding",1611511524714
stopped,bundle,it.eng.spagobi.meta.editor,5.1.0,"it.eng.spagobi.meta.editor",1611511524714
stopped,bundle,it.eng.spagobi.meta.edit,5.1.0,"it.eng.spagobi.meta.edit",1611511524714
stopped,bundle,it.eng.spagobi.meta.generator,5.1.0,"it.eng.spagobi.meta.generator",1611511524714
stopped,bundle,it.eng.spagobi.meta.model,5.1.0,"it.eng.spagobi.meta.model",1611511524714
stopped,bundle,org.eclipse.emf.exporter,2.6.0.v20130125-0826,"org.eclipse.emf.exporter",1611511524714
stopped,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20130125-0826,"org.eclipse.emf.importer.ecore",1611511524714
stopped,bundle,org.eclipse.emf.importer.java,2.6.0.v20130125-0826,"org.eclipse.emf.importer.java",1611511524714
stopped,bundle,org.eclipse.emf.importer.rose,2.6.0.v20130125-0826,"org.eclipse.emf.importer.rose",1611511524714
stopped,bundle,org.eclipse.emf.importer,2.7.0.v20130125-0826,"org.eclipse.emf.importer",1611511524714
stopped,bundle,org.eclipse.emf.converter,2.5.0.v20130125-0826,"org.eclipse.emf.converter",1611511524715
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.8.0.v20130125-0826,"org.eclipse.emf.codegen.ecore.ui",1611511524715
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.5.0.v20130125-0826,"org.eclipse.emf.mapping.ecore2ecore.editor",1611511524715
stopped,bundle,org.eclipse.emf.ecore.editor,2.8.0.v20130125-0826,"org.eclipse.emf.ecore.editor",1611511524715
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.6.0.v20130125-0826,"org.eclipse.emf.mapping.ecore2xml.ui",1611511524715
stopped,bundle,org.eclipse.emf.mapping.ui,2.6.0.v20130125-0826,"org.eclipse.emf.mapping.ui",1611511524719
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.2.1.v20100906,"org.eclipse.jst.jsf.facesconfig",1611511524719
stopped,bundle,org.eclipse.emf.edit.ui,2.8.0.v20130125-0826,"org.eclipse.emf.edit.ui",1611511524719
stopped,bundle,org.eclipse.gef,3.9.0.201212170307,"org.eclipse.gef",1611511524719
stopped,bundle,com.teradata.datatools.dao,13.11.0.201105251120,"com.teradata.datatools.dao",1611511524720
stopped,bundle,com.teradata.datatools.preferences,13.0.0.201105251120,"com.teradata.datatools.preferences",1611511524720
stopped,bundle,com.teradata.datatools.util.ui,13.10.0.201105251120,"com.teradata.datatools.util.ui",1611511524721
stopped,bundle,com.teradata.datatools.xsltgenerator,13.0.0.201105251120,"com.teradata.datatools.xsltgenerator",1611511524721
stopped,bundle,org.eclipse.birt.report.data.oda.excel.ui,4.2.1.v20120820,"org.eclipse.birt.report.data.oda.excel.ui",1611511524721
stopped,bundle,org.eclipse.birt.report.data.oda.xml.ui,4.2.1.v20120820,"org.eclipse.birt.report.data.oda.xml.ui",1611511524721
stopped,bundle,org.eclipse.datatools.connectivity.oda.flatfile.ui,3.1.5.v201302061811,"org.eclipse.datatools.connectivity.oda.flatfile.ui",1611511524721
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.4.v201302041603,"org.eclipse.datatools.enablement.oda.xml.ui",1611511524721
stopped,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.2.8.v201207060816,"org.eclipse.datatools.connectivity.oda.design.ui",1611511524721
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries.ui,1.0.3.v201212120614,"org.eclipse.datatools.enablement.ibm.db2.iseries.ui",1611511524721
activated,perspective,it.eng.spagobi.studio.core,,"it.eng.spagobi.studio.core.perspectives.SpagoBIPerspective",1611570192295
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1611570192295
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1611570192295
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1611570192295
started,bundle,com.teradata.datatools.dtp.catalog,13.11.0.201105251120,"com.teradata.datatools.dtp.catalog",1611570192295
started,bundle,com.teradata.datatools.util,13.11.0.201105251120,"com.teradata.datatools.util",1611570192295
