what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.3.v201211200616,"org.eclipse.datatools.sqltools.routineeditor.ui",1611511524526
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui,4.2.1.v20120820,"org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.5.v201212120623,"org.eclipse.datatools.sqltools.sqlbuilder",1611511524526
stopped,bundle,com.teradata.datatools.dtp.sqltools.result.core,13.11.0.201105251120,"com.teradata.datatools.dtp.sqltools.result.core",1611511524526
stopped,bundle,com.teradata.eclipse.datatools.sqltools.result.ui,13.11.0.201105251120,"com.teradata.eclipse.datatools.sqltools.result.ui",1611511524526
stopped,bundle,com.teradata.eclipse.datatools.sqltools.result,13.10.0.201105251120,"com.teradata.eclipse.datatools.sqltools.result",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.debugger.core",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.2.v201205310922,"org.eclipse.datatools.sqltools.sqlscrapbook",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.4.v201212120623,"org.eclipse.datatools.sqltools.sqleditor",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1611511524526
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.2.v201212120623,"org.eclipse.datatools.sqltools.tabledataeditor",1611511524526
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.3.v201212070447,"org.eclipse.datatools.connectivity.sqm.core.ui",1611511524526
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1611511524526
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.5.v201212070447,"org.eclipse.datatools.connectivity.ui.dse",1611511524526
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.script,4.2.1.v20120820,"org.eclipse.birt.report.designer.ui.editor.script",1611511524526
stopped,bundle,org.eclipse.birt.report.designer.ui.editor.xml.wtp,4.2.1.v20120820,"org.eclipse.birt.report.designer.ui.editor.xml.wtp",1611511524526
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,4.2.1.v20120820,"org.eclipse.birt.chart.reportitem.ui",1611511524526
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,4.2.1.v201209121047,"org.eclipse.birt.report.item.crosstab.ui",1611511524526
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,4.2.1.v201209111026,"org.eclipse.birt.report.designer.ui.ide",1611511524526
stopped,bundle,org.eclipse.birt.report.designer.ui.lib.explorer,4.2.1.v20120820,"org.eclipse.birt.report.designer.ui.lib.explorer",1611511524526
stopped,bundle,org.eclipse.birt.report.designer.ui.lib,4.2.1.v20120820,"org.eclipse.birt.report.designer.ui.lib",1611511524526
stopped,bundle,org.eclipse.birt.report.designer.ui.editors.schematic,4.2.1.v201209060505,"org.eclipse.birt.report.designer.ui.editors.schematic",1611511524526
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v20100521-1846,"org.eclipse.emf.cheatsheets",1611511524526
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1611511524526
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1611511524526
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.jdt.apt.ui",1611511524526
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.jdt.ui",1611511524526
stopped,bundle,org.hibernate.eclipse.mapper,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.mapper",1611511524526
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.jpt.core",1611511524526
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.ui",1611511524526
stopped,bundle,org.hibernate.eclipse.console,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.console",1611511524526
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.101.v20100906,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1611511524526
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.1.v201101112207,"org.eclipse.jst.jsf.facesconfig.ui",1611511524526
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1611511524526
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1611511524526
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.0.v20100414,"org.eclipse.jst.pagedesigner.jsf.ui",1611511524526
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.2.v201101211220,"org.eclipse.jst.pagedesigner",1611511524526
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.0.v20100329,"org.eclipse.jst.jsf.common.ui",1611511524526
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1611511524526
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.4.v201301111130,"org.eclipse.datatools.connectivity.oda.template.ui",1611511524526
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1611511524526
